도로명대지위치,주용도코드명,세대수,연면적(㎡),위도,경도,가중치,UTM_X,UTM_Y
경상북도 영주시 철탄길 91 (영주동),단독주택,1,47.675,36.8313356803838,128.624665954694,1.2992829841302609,1100290.7762038168,1870937.2349959146
경상북도 영주시 철탄길34번길 23-3 (영주동),단독주택,1,26.0,36.8293615010806,128.627043041872,0.505726857182166,1100505.3407070653,1870720.72443129
경상북도 영주시 광복로 71 (영주동),단독주택,1,28.49,36.827884994899,128.626287957698,1.01160091167848,1100439.9330578307,1870556.1327120205
경상북도 영주시 번영로 186 (영주동),단독주택,1,392.07,36.8274920846764,128.624949146721,0.0,1100321.04946574,1870511.1385959908
경상북도 영주시 번영로 182-7 (영주동),단독주택,1,155.08,36.8272989455562,128.625236466859,0.7869503475211915,1100346.9253784781,1870490.0141330904
경상북도 영주시 번영로 182-8 (영주동),단독주택,1,72.68,36.8271218627326,128.625186319952,0.7869503475211915,1100342.6844621312,1870470.3166049686
경상북도 영주시 광복로 62 (영주동),단독주택,1,78.03,36.8276169220564,128.625116992457,0.0,1100335.855177629,1870525.1637683823
경상북도 영주시 광복로 55 (영주동),단독주택,1,13.61,36.8282072614234,128.625479395743,0.0,1100367.403604263,1870591.0342538247
경상북도 영주시 광복로 43-18 (영주동),단독주택,1,119.04,36.8285675405465,128.623701795069,0.0,1100208.4059729243,1870629.1368539257
경상북도 영주시 숫골길24번길 27-1 (영주동),단독주택,1,99.15,36.829014648682,128.623547942783,0.6380874033769178,1100194.1022769273,1870678.5759793448
경상북도 영주시 숫골길24번길 43-2 (영주동),단독주택,1,35.24,36.829160506051,128.623885477446,0.0,1100224.0132609985,1870695.1107554538
경상북도 영주시 숫골길24번길 43-4 (영주동),단독주택,1,43.38,36.8291379997323,128.623752184838,0.0,1100212.1556363597,1870692.4742133135
경상북도 영주시 숫골길24번길 43-6 (영주동),단독주택,1,15.36,36.8291458621294,128.62366470312,0.0,1100204.3437939922,1870693.2547075627
경상북도 영주시 숫골길24번길 43-8 (영주동),단독주택,1,22.43,36.8291467154812,128.623575840343,0.6380874033769178,1100196.4179322575,1870693.256204757
경상북도 영주시 숫골길24번길 17-12 (영주동),단독주택,1,28.29,36.8293916388314,128.623395521103,0.5465437063680699,1100180.017749725,1870720.2380116414
경상북도 영주시 숫골길24번길 27 (영주동),단독주택,2,23.7,36.8289028859889,128.623451768562,1.024504316514388,1100185.6712271988,1870666.0766359593
경상북도 영주시 숫골길24번길 21 (영주동),단독주택,1,76.02,36.8289735529787,128.623218787559,0.6380874033769178,1100164.8018695363,1870673.6719445293
경상북도 영주시 숫골길24번길 17-2 (영주동),단독주택,1,80.58,36.8290927323577,128.623220521347,0.6380874033769178,1100164.8011029353,1870686.8950579702
경상북도 영주시 숫골길24번길 17-4 (영주동),단독주택,1,25.28,36.8291255335604,128.623108011941,0.6380874033769178,1100154.7247884006,1870690.415980421
,단독주택,1,105.35,36.828200081267,128.623763293901,1.6739764335716716,1100214.3697727427,1870588.4368403729
경상북도 영주시 번영로181번길 8 (영주동),단독주택,1,359.4,36.827554773887,128.624278220543,1.6739764335716716,1100261.1334212313,1870517.389032902
,단독주택,1,209.28,36.8272887005498,128.62452264313,1.252762968495368,1100283.2786824668,1870488.128341454
경상북도 영주시 광복로46번길 16-1 (영주동),단독주택,1,132.96,36.8271717350227,128.623158411768,1.072184155856927,1100161.7665861512,1870473.7220305023
경상북도 영주시 번영로181번길 14 (영주동),단독주택,1,99.6,36.8274198679194,128.623910774525,1.6739764335716716,1100228.5400356804,1870502.0376788282
경상북도 영주시 번영로181번길 13 (영주동),단독주택,1,170.04,36.8272194950272,128.623811047712,1.252762968495368,1100219.9076083011,1870479.7045137086
경상북도 영주시 번영로181번길 11 (영주동),단독주택,1,47.18,36.8272171041634,128.623900324068,1.252762968495368,1100227.8725587311,1870479.5329023777
경상북도 영주시 번영로181번길 13-1 (영주동),단독주택,1,40.4,36.8271323839523,128.623803266262,1.252762968495368,1100219.3272731118,1870470.0325927592
경상북도 영주시 번영로181번길 28 (영주동),단독주택,7,486.47,36.8275195605162,128.623109497054,2.743318339939668,1100156.9508481724,1870512.257162885
경상북도 영주시 광복로 42-1 (영주동),단독주택,1,173.52,36.8276783485952,128.622995056321,1.1239300966523995,1100146.5378728253,1870529.7525641322
경상북도 영주시 번영로181번길 30 (영주동),단독주택,1,72.73,36.8275236674708,128.622940680214,1.1239300966523995,1100141.890155315,1870512.535868946
경상북도 영주시 번영로181번길 45 (영주동),단독주택,18,658.83,36.8272567714327,128.622262119551,2.888876341621144,1100081.722767645,1870482.2166761437
경상북도 영주시 광복로32번길 11 (영주동),단독주택,1,206.19,36.8273641692834,128.621971748808,0.6642075116755862,1100055.6871182276,1870493.8269378836
경상북도 영주시 광복로32번길 11 (영주동),단독주택,1,181.47,36.8273641692834,128.621971748808,0.6642075116755862,1100055.6871182276,1870493.8269378836
