code,codename,count,category,method,death_rate_2023,birth_rate_2023
241301,합성고무 제조업,13,제조업,prefix,6.8,6.6
221900,기타 인쇄물 출판업,13,제조업,prefix,6.8,6.6
515040,공작용 기계 및 장비 도매업,13,도매 및 소매업,prefix,13.0,14.5
289206,금속 열처리업,13,제조업,prefix,6.8,6.6
712201,기타 산업용 기계 및 장비 임대업,13,전문과학기술서비스업,prefix,9.7,14.9
514291,1차 금속제품 도매업,13,도매 및 소매업,prefix,13.0,14.5
742201,기타 기술 시험  검사 및 분석업,13,전문과학기술서비스업,keyword(conflict),9.7,14.9
552204,일반 유흥 주점업,13,숙박 및 음식점업,prefix,14.7,17.2
523292,의복 액세서리 및 모조 장신구 소매업,13,도매 및 소매업,prefix,13.0,14.5
611002,외항 화물 운송업,13,운수 및 창고업,prefix,8.8,9.5
153104,단미사료 및 기타 사료 제조업,13,제조업,prefix,6.8,6.6
730008,경제 및 경영학 연구개발업,13,전문과학기술서비스업,prefix,9.7,14.9
512214,과실류 도매업,13,도매 및 소매업,prefix,13.0,14.5
293003,제조 / 가정용비전기식조리기구,13,제조업,prefix,6.8,6.6
630903,화물 포장  검수 및 계량 서비스업,13,운수 및 창고업,prefix,8.8,9.5
522011,곡물  곡분 및 가축 사료 소매업,13,도매 및 소매업,prefix,13.0,14.5
269300,타일 및 유사 비내화 요업제품 제조업,13,제조업,prefix,6.8,6.6
513211,생활용 가구 도매업,13,도매 및 소매업,prefix,13.0,14.5
930901,예식장업,13,"협회 및 단체, 수리 및 기타 개인서비스업",prefix(conflict-fallback),10.0,13.5
523314,가구 소매업,13,도매 및 소매업,prefix,13.0,14.5
292907,그 외 기타 특수 목적용 기계 제조업,13,제조업,prefix,6.8,6.6
513920,의복 액세서리 및 모조 장신구 도매업,13,도매 및 소매업,prefix,13.0,14.5
749902,번역 및 통역 서비스업,13,전문과학기술서비스업,keyword(conflict),9.7,14.9
513250,악기 도매업,13,도매 및 소매업,prefix,13.0,14.5
514963,도매 / 면직물,13,도매 및 소매업,prefix,13.0,14.5
514930,비료 및 농약 도매업,13,도매 및 소매업,prefix,13.0,14.5
342001,차체 및 특장차 제조업,13,제조업,prefix,6.8,6.6
369501,모조 귀금속 및 모조 장신용품 제조업,13,"수도, 하수 및 폐기물처리, 원료재생업",prefix,5.2,6.3
742108,제도업,13,전문과학기술서비스업,keyword(conflict),9.7,14.9
269902,연마재 제조업,13,제조업,prefix,6.8,6.6
242903,그 외 기타 분류 안된 화학제품 제조업,13,제조업,prefix,6.8,6.6
722002,모바일 게임 소프트웨어 개발 및 공급업,13,전문과학기술서비스업,prefix,9.7,14.9
809017,외국어학원,13,교육서비스업,prefix,12.9,16.9
513934,시계 및 귀금속 제품 도매업,13,도매 및 소매업,prefix,13.0,14.5
512111,곡물 및 유지작물 도매업,13,도매 및 소매업,prefix,13.0,14.5
513921,장난감 및 취미  오락용품 도매업,13,도매 및 소매업,prefix,13.0,14.5
723000,자료 처리업,13,전문과학기술서비스업,prefix,9.7,14.9
343005,자동차용 신품 조향장치 및 현가장치 제조업,13,제조업,prefix,6.8,6.6
232100,원유 정제처리업,13,제조업,prefix,6.8,6.6
154300,제조 / 코코아제품및설탕과자,13,제조업,prefix,6.8,6.6
292700,무기 및 총포탄 제조업,13,제조업,prefix,6.8,6.6
512113,종자 및 묘목 도매업,13,도매 및 소매업,prefix,13.0,14.5
940918,퀵서비스배달원,13,"협회 및 단체, 수리 및 기타 개인서비스업",prefix,10.0,13.5
503006,자동차용 전용 신품 부품 판매업,13,도매 및 소매업,prefix,13.0,14.5
052101,해수면 양식 어업,13,광업,prefix,11.8,9.6
522071,기타 음ㆍ식료품 위주 종합 소매업,13,도매 및 소매업,prefix,13.0,14.5
701102,주거용 건물 임대업,13,부동산업,prefix,8.9,10.9
261001,판유리 제조업,13,제조업,prefix,6.8,6.6
741403,공공관계 서비스업,13,전문과학기술서비스업,keyword(conflict),9.7,14.9
741104,변리사업,13,전문과학기술서비스업,keyword(conflict),9.7,14.9
523986,그 외 기타 분류 안된 상품 전문 소매업,13,도매 및 소매업,prefix,13.0,14.5
351101,강선 건조업,13,"전기, 가스, 증기 및 공기조절 공급업",prefix,2.8,15.0
289201,그 외 기타 금속 가공업,13,제조업,prefix,6.8,6.6
511115,섬유  의복  신발 및 가죽제품 중개업 / 목재 및 건축,13,도매 및 소매업,prefix,13.0,14.5
452132,배관 및 냉ㆍ난방 공사업,13,건설업,prefix,7.6,9.5
369908,그 외 기타 달리 분류되지 않은 제품 제조업,13,"수도, 하수 및 폐기물처리, 원료재생업",prefix,5.2,6.3
703012,주거용 건물 개발 및 공급업,13,부동산업,prefix,8.9,10.9
181202,모자 제조업,13,제조업,prefix,6.8,6.6
313002,절연 코드세트 및 기타 도체 제조업,13,제조업,prefix,6.8,6.6
210202,골판지 상자 및 가공제품 제조업,13,제조업,prefix,6.8,6.6
202201,목재 포장용 상자  드럼 및 유사 용기 제조업,13,제조업,prefix,6.8,6.6
153101,기타 곡물 가공품 제조업,13,제조업,prefix,6.8,6.6
940912,개인간병인,13,"협회 및 단체, 수리 및 기타 개인서비스업",prefix,10.0,13.5
343007,자동차 재제조 부품 제조업,13,제조업,prefix,6.8,6.6
743001,옥외 및 전시 광고업,13,"사업시설관리, 사업지원 및 임대 서비스업",keyword(conflict),12.2,16.0
242101,화학 살균ㆍ살충제 및 농업용 약제 제조업,13,제조업,prefix,6.8,6.6
630601,기타 여행 보조 및 예약 서비스업,13,운수 및 창고업,prefix,8.8,9.5
172901,세폭직물 제조업,13,제조업,prefix,6.8,6.6
192001,구두류 제조업,13,제조업,prefix,6.8,6.6
552107,치킨 전문점,13,숙박 및 음식점업,prefix,14.7,17.2
749923,,13,"사업시설관리, 사업지원 및 임대 서비스업",prefix(conflict-fallback),12.2,16.0
930902,욕탕업,13,"협회 및 단체, 수리 및 기타 개인서비스업",prefix(conflict-fallback),10.0,13.5
602304,일반 화물 자동차 운송업,13,운수 및 창고업,prefix,8.8,9.5
924304,스키장 운영업,13,"예술, 스포츠 및 여가관련 서비스업",keyword(conflict),13.5,16.2
171103,제조 / 소모사,13,제조업,prefix,6.8,6.6
522109,조리 반찬류 소매업,13,도매 및 소매업,prefix,13.0,14.5
452128,내부 통신배선 공사업,13,건설업,prefix,7.6,9.5
642003,그 외 기타 전기 통신업,13,금융 및 보험업,prefix,9.7,11.9
702002,부동산 감정 평가업,13,부동산업,prefix,8.9,10.9
900101,지정 외 폐기물 처리업,13,"예술, 스포츠 및 여가관련 서비스업",prefix,13.5,16.2
269504,콘크리트 타일  기와  벽돌 및 블록 제조업,13,제조업,prefix,6.8,6.6
809003,레크리에이션 교육기관,13,교육서비스업,prefix,12.9,16.9
171201,솜 및 실 염색 가공업,13,제조업,prefix,6.8,6.6
742203,물질 성분 검사 및 분석업,13,전문과학기술서비스업,keyword(conflict),9.7,14.9
922204,모터사이클 수리업,13,"협회 및 단체, 수리 및 기타 개인서비스업",keyword(conflict),10.0,13.5
742109,건물 및 토목 엔지니어링 서비스업,13,전문과학기술서비스업,keyword(conflict),9.7,14.9
512231,신선  냉동 및 기타 수산물 도매업,13,도매 및 소매업,prefix,13.0,14.5
513941,운동 및 경기용품 도매업,13,도매 및 소매업,prefix,13.0,14.5
152002,액상 시유 및 기타 낙농제품 제조업,13,제조업,prefix,6.8,6.6
319002,그 외 기타 전기장비 제조업,13,제조업,prefix,6.8,6.6
511118,음ㆍ식료품 및 담배 중개업,13,도매 및 소매업,prefix,13.0,14.5
552103,일식 음식점업,13,숙박 및 음식점업,prefix,14.7,17.2
