자료생성년월,사업장명,사업자등록번호,사업장가입상태코드 1 등록 2 탈퇴,우편번호,사업장지번상세주소,사업장도로명상세주소,고객법정동주소코드,고객행정동주소코드,법정동주소광역시도코드,법정동주소광역시시군구코드,법정동주소광역시시군구읍면동코드,사업장형태구분코드 1 법인 2 개인,사업장업종코드,사업장업종코드명,적용일자,재등록일자,탈퇴일자,가입자수,당월고지금액,신규취득자수,상실가입자수,매칭_임금체불_사업장명,매칭_단계
2026-02,주식회사부영산업,503819,1,40159,경상북도 고령군 쌍림면,경상북도 고령군 쌍림면 쌍림공단길,4783037050,4783037000,47,830,370,1,172902,그 외 기타 분류 안된 섬유제품 제조업,2010-10-01,,,4,1022560,0,0,부영산업,2단계_이름일치_시도일치
2026-02,(주)플러스건설,140815,1,15047,경기도 시흥시 정왕동,경기도 시흥시 봉우재로209번길,4139013200,4139058900,41,390,132,1,451101,아파트 건설업,2011-02-21,,,3,908200,0,0,(주)지오플러스건설,4단계_이름포함_시도일치
2026-02,(주) 아이마케팅,119863,1,08512,서울특별시 금천구 가산동,서울특별시 금천구 디지털로9길,1154510100,1154551000,11,545,101,1,749910,시각 디자인업,2011-01-01,,,4,1062180,0,0,에스엘에이치아이(SLHI)마케팅,4단계_이름포함_시도일치
2026-02,제주시청(통합사례관리사),616830,1,63208,제주특별자치도 제주시 이도이동,제주특별자치도 제주시 광양9길,5011010400,5011054000,50,110,104,1,999999,BIZ_NO미존재사업장,2011-01-01,,,7,1931380,0,0,비비큐제주시청점,3단계_이름포함_시군구일치
2026-02,（주）대현이엠씨,137861,1,10090,경기도 김포시 장기동,경기도 김포시 태장로795번길,4157010400,4157056000,41,570,104,1,452200,그 외 기타 건축 마무리 공사업,2012-01-02,,,4,1779220,0,1,주식회사대현이엠씨,4단계_이름포함_시도일치
2026-02,주식회사제이팜코리아,204863,1,11952,경기도 구리시 교문동,경기도 구리시 아차산로,4131010400,4131054100,41,310,104,1,999999,BIZ_NO미존재사업장,2012-01-30,,,6,2245760,0,0,팜코리아농업회사법인주식회사,4단계_이름포함_시도일치
2026-02,주식회사그린필드,140815,1,14992,경기도 시흥시 화정동,경기도 시흥시 능곡로76번길,4139011700,4139064000,41,390,117,1,210903,위생용 종이제품 제조업,2011-11-11,,,4,817740,0,0,그린필드인터내셔널(주),4단계_이름포함_시도일치
2026-02,제주시청(한림청소년방과후아카데미),616830,1,63208,제주특별자치도 제주시 이도이동,제주특별자치도 제주시 광양9길,5011010400,5011054000,50,110,104,1,999999,BIZ_NO미존재사업장,2012-02-01,,,3,926420,0,0,비비큐제주시청점,3단계_이름포함_시군구일치
2026-02,현진건설주식회사,130866,1,14696,경기도 부천시 소사구 괴안동,경기도 부천시 소사구 안곡로,4119410400,4119457000,41,194,104,1,452102,유리 및 창호 공사업,2012-03-08,,,4,945140,0,1,현진건설-건설업본사,4단계_이름포함_시도일치
2026-02,주식회사예림,137862,1,21686,인천광역시 남동구 고잔동,인천광역시 남동구 논현고잔로135번길,2820011100,2820071000,28,200,111,1,514393,그 외 기타 건축자재 도매업,2012-06-04,,,36,10319060,0,0,(주)예림,1단계_이름일치_시군구일치
2026-02,주식회사 위더스교육,305861,1,06615,서울특별시 서초구 서초동,서울특별시 서초구 서초대로73길,1165010800,1165053100,11,650,108,1,999999,BIZ_NO미존재사업장,2012-06-25,,,47,11424560,2,2,(주)위더스교육,5단계_이름일치_주소무관
2026-02,(주) 한진,127864,2,11413,경기도 양주시 광적면,경기도 양주시 광적면 광적로326번길,4163033026,4163033000,41,630,330,1,171200,직물  편조 원단 및 의복류 염색 가공업,2012-09-01,,2023-12-07,0,0,0,0,주식회사 한진,1단계_이름일치_시군구일치
2026-02,구로구청(아동복지교사),113830,1,08284,서울특별시 구로구 구로동,서울특별시 구로구 가마산로,1153010200,1153053000,11,530,102,1,000000,해당없음,2013-01-01,,,16,2186040,0,0,e-어도참치구로구청점,3단계_이름포함_시군구일치
2026-02,（주）용천자연유리,127864,1,11464,경기도 양주시 회암동,경기도 양주시 천보산로143번길,4163011200,4163057000,41,630,112,1,999999,BIZ_NO미존재사업장,2012-11-16,,,7,1609160,0,1,（주）용천자연유리,1단계_이름일치_시군구일치
2026-02,선일플랜트주식회사,214885,1,28176,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 강내면 저산태성로,4311331023,4311331000,43,113,310,1,515010,그 외 기타 기계 및 장비 도매업,2013-01-07,2016-03-14,,5,1865460,0,0,선일플랜트,5단계_이름일치_주소무관
2026-02,(주)웰팜코리아,206866,1,13435,경기도 성남시 중원구 여수동,경기도 성남시 중원구 여수울로29번길,4113310600,4113367000,41,133,106,1,519112,상품 종합 도매업,2013-01-01,,,5,2021580,0,0,팜코리아농업회사법인주식회사,4단계_이름포함_시도일치
2026-02,주식회사 하늘건설,617861,1,54620,전북특별자치도 익산시 남중동,전북특별자치도 익산시 인북로,5214011300,5214059500,52,140,113,1,999999,BIZ_NO미존재사업장,2013-08-20,,,8,2531420,0,0,하늘건설,2단계_이름일치_시도일치
2026-02,주식회사 에이비팜코리아,138818,1,14348,경기도 광명시 일직동,경기도 광명시 새빛공원로,4121010600,4121065500,41,210,106,1,513320,화장품 및 화장용품 도매업,2013-07-01,,,3,1388480,0,0,팜코리아농업회사법인주식회사,4단계_이름포함_시도일치
2026-02,주식회사에프에스,137864,1,10048,경기도 김포시 양촌읍,경기도 김포시 양촌읍 황금로109번길,4157025626,4157025600,41,570,256,1,289202,도장 및 기타 피막 처리업,2014-01-01,,,57,22732840,1,0,(주)청우에프에스씨,4단계_이름포함_시도일치
2026-02,다원테크,609182,1,51576,경상남도 창원시 성산구 성산동,경상남도 창원시 성산구 공단로,4812313200,4812357000,48,123,132,2,999999,BIZ_NO미존재사업장,2014-01-01,,,37,12201500,1,1,(주)다원테크,2단계_이름일치_시도일치
2026-02,레이팜코리아주식회사,142817,1,18589,경기도 화성시 만세구 향남읍,경기도 화성시 만세구 향남읍 서봉로,4159125329,4159125300,41,591,253,1,153301,단미사료 및 기타 사료 제조업,2014-06-01,,,25,7436280,1,2,팜코리아농업회사법인주식회사,4단계_이름포함_시도일치
2026-02,이노베이주식회사,126867,1,04376,서울특별시 용산구 한강로2가,서울특별시 용산구 한강대로,1117012500,1117062500,11,170,125,1,743002,광고 대행업,2014-04-10,2016-11-01,,10,3639880,0,1,주식회사케이손아이템풀이노베이션,4단계_이름포함_시도일치
2026-02,주식회사미트팜코리아,138819,1,15201,경기도 안산시 상록구 장상동,경기도 안산시 상록구 노리울길,4127111400,4127161000,41,271,114,1,999999,BIZ_NO미존재사업장,2014-07-16,,,5,1444000,1,1,팜코리아농업회사법인주식회사,4단계_이름포함_시도일치
2026-02,주식회사웰텍,314866,1,34165,대전광역시 유성구 장대동,대전광역시 유성구 유성대로,3020011700,3020054000,30,200,117,1,999999,BIZ_NO미존재사업장,2014-08-01,,,3,1126580,0,0,주식회사웰텍,1단계_이름일치_시군구일치
2026-02,주식회사케이앤티,131866,1,10048,경기도 김포시 양촌읍,경기도 김포시 양촌읍 황금6로,4157025626,4157025600,41,570,256,1,519111,상품 종합 도매업,2014-08-01,,,11,3234360,0,0,주식회사케이앤티푸드시스템,4단계_이름포함_시도일치
2026-02,（주）엠스팜코리아,142818,1,16569,경기도 수원시 권선구 권선동,경기도 수원시 권선구 효원로,4111313700,4111367000,41,113,137,1,513311,의약품 도매업,2014-12-22,,,4,1226620,0,0,팜코리아농업회사법인주식회사,4단계_이름포함_시도일치
2026-02,알바이오팜코리아유한회사,113869,1,12925,경기도 하남시 덕풍동,경기도 하남시 미사대로,4145010800,4145056000,41,450,108,1,512287,기타 가공식품 도매업,2015-01-02,,,3,1367500,0,0,팜코리아농업회사법인주식회사,4단계_이름포함_시도일치
2026-02,주식회사동연시스템,135865,1,18374,경기도 화성시 병점구 반정동,경기도 화성시 병점구 반정로153번길,4159510600,4159551000,41,595,106,1,321000,기타 반도체 소자 제조업,2015-02-11,,,10,2980880,0,0,주식회사동연시스템,2단계_이름일치_시도일치
2026-02,주식회사 에프에스,135865,1,17821,경기도 평택시 고덕면,경기도 평택시 고덕면 효덕새싹길,4122033026,4122033000,41,220,330,1,321000,기타 반도체 소자 제조업,2015-02-01,,,3,1366640,0,0,(주)청우에프에스씨,4단계_이름포함_시도일치
2026-02,구로구청(일반형일자리),113830,1,08284,서울특별시 구로구 구로동,서울특별시 구로구 가마산로,1153010200,1153053000,11,530,102,1,701201,비주거용 건물 임대업(점포  자기땅),2016-01-01,,,38,6554120,0,0,e-어도참치구로구청점,3단계_이름포함_시군구일치
2026-02,주식회사 아이미제주비치호텔,616861,1,63333,제주특별자치도 제주시 조천읍,제주특별자치도 제주시 조천읍 조함해안로,5011025924,5011025900,50,110,259,1,551001,호텔업,2015-10-01,,,8,1849280,1,0,주식회사아이미제주비치호텔,1단계_이름일치_시군구일치
2026-02,제주시청(지역아동센터아동복지교사지원),616830,1,63208,제주특별자치도 제주시 이도이동,제주특별자치도 제주시 광양9길,5011010400,5011054000,50,110,104,1,999999,BIZ_NO미존재사업장,2016-01-01,,,23,4200140,0,0,비비큐제주시청점,3단계_이름포함_시군구일치
2026-02,인솔루션주식회사,307880,1,16827,경기도 용인시 수지구 동천동,경기도 용인시 수지구 신수로,4146510300,4146556000,41,465,103,1,515070,전기용 기계ㆍ장비 및 관련 기자재 도매업,2015-10-01,,,6,1811440,0,0,(주)위즈디자인솔루션엔코 덕수궁초밥,4단계_이름포함_시도일치
2026-02,(주)케이디자인,656810,1,16248,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 경수대로,4111513900,4111570000,41,115,139,1,369503,간판 및 광고물 제조업,2016-02-15,,,4,814900,0,0,(주)엠케이디자인그룹,4단계_이름포함_시도일치
2026-02,주식회사 에이원건설산전,688860,1,10071,경기도 김포시 구래동,경기도 김포시 김포한강9로76번길,4157010900,4157057000,41,570,109,1,515070,전기용 기계ㆍ장비 및 관련 기자재 도매업,2016-03-01,,,3,415320,0,0,주식회사에이원건설산전,1단계_이름일치_시군구일치
2026-02,씨엔에스(CNS),121352,1,21677,인천광역시 남동구 고잔동,인천광역시 남동구 앵고개로697번길,2820011100,2820071000,28,200,111,2,321000,기타 반도체 소자 제조업,2016-05-02,,,10,2785600,0,0,(주)대신씨엔에스,4단계_이름포함_시도일치
2026-02,바이메타주식회사,289810,1,08592,서울특별시 금천구 가산동,서울특별시 금천구 가산디지털2로,1154510100,1154551000,11,545,101,1,300101,기타 주변 기기 제조업,2016-05-13,,,5,1994600,0,0,바이메타주식회사,1단계_이름일치_시군구일치
2026-02,주식회사케이앤티,177860,1,17103,경기도 용인시 기흥구 서천동,경기도 용인시 기흥구 서그내로,4146311000,4146355000,41,463,110,1,343000,그 외 자동차용 신품 부품 제조업,2016-07-01,,,4,1840400,0,0,주식회사케이앤티푸드시스템,4단계_이름포함_시도일치
2026-02,주식회사라인디자인,681880,1,14298,경기도 광명시 옥길동,경기도 광명시 금오로,4121010800,4121057000,41,210,108,1,452107,도배  실내 장식 및 내장 목공사업,2016-07-01,,,4,578720,0,0,라인디자인,2단계_이름일치_시도일치
2026-02,(주)부영산업,306870,1,44968,울산광역시 울주군 웅촌면,울산광역시 울주군 웅촌면 와지공단길,3171034026,3171034000,31,710,340,1,289901,금속선 가공제품 제조업,2016-10-17,,,23,6448780,4,0,부영산업,1단계_이름일치_시군구일치
2026-02,주식회사씨엔에스(CNS),230811,1,17796,경기도 평택시 청북읍,경기도 평택시 청북읍 드림산단2로,4122025930,4122025900,41,220,259,1,321000,기타 반도체 소자 제조업,2016-12-02,,,3,1504200,0,0,(주)대신씨엔에스,4단계_이름포함_시도일치
2026-02,주식회사에이치테크,898860,1,31030,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 직산읍 부송상덕길,4413325627,4413325600,44,133,256,1,331300,산업 처리공정 제어장비 제조업,2017-05-15,,,20,8479960,1,0,에스에이치테크콥,3단계_이름포함_시군구일치
2026-02,주식회사 대경건설,142860,1,39243,경상북도 구미시 비산동,경상북도 구미시 비산로7길,4719011200,4719061000,47,190,112,1,452102,유리 및 창호 공사업,2017-07-13,,,10,4077500,0,0,대경건설,2단계_이름일치_시도일치
2026-02,일성기업주식회사,849880,1,53275,경상남도 거제시 사등면,경상남도 거제시 사등면 지석로,4831036024,4831036000,48,310,360,1,900100,지정 외 폐기물 수집  운반업,2017-07-01,,,21,7678680,0,0,일성기업,1단계_이름일치_시군구일치
2026-02,현진건설(주),548810,1,12242,경기도 남양주시 일패동,경기도 남양주시 경춘로,4136010400,4136054000,41,360,104,1,451101,아파트 건설업,2017-10-01,,,5,2021000,0,1,현진건설-건설업본사,4단계_이름포함_시도일치
2026-02,다인종합관리주식회사,861810,1,15470,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 광덕동로,4127310100,4127353500,41,273,101,1,702003,비주거용 부동산 관리업,2017-11-01,,,4,825900,0,0,다인종합관리,2단계_이름일치_시도일치
2026-02,주식회사 에프에스씨,404880,1,06224,서울특별시 강남구 역삼동,서울특별시 강남구 논현로76길,1168010100,1168065000,11,680,101,1,724000,데이터베이스 및 온라인 정보 제공업,2017-12-01,2019-11-01,,9,2708400,0,0,(주)청우에프에스씨,4단계_이름포함_시도일치
2026-02,주식회사디티에스,335810,1,17541,경기도 안성시 대덕면,경기도 안성시 대덕면 모산로,4155035024,4155035000,41,550,350,1,331201,물질 검사  측정 및 분석 기구 제조업,2017-11-01,,,7,2213920,0,0,"주식회사디티에스DTSCo.,Ltd.",4단계_이름포함_시도일치
2026-02,주식회사국가대표,283860,1,06223,서울특별시 강남구 역삼동,서울특별시 강남구 논현로80길,1168010100,1168065000,11,680,101,1,743002,광고 대행업,2017-12-20,,,6,2068880,0,1,주식회사국가대표소유창휘트니스,4단계_이름포함_시도일치
