business_id,source_business,label,gubun,t_disclose,shift,coverage,last_month,n_months_observed,turnover_avg_12m,turnover_avg_3m,turnover_max_12m,turnover_std_12m,emp_change_3m,emp_change_6m,emp_change_12m,salary_avg_12m,salary_last,salary_change_6m,salary_change_12m,replacement_avg_12m,replacement_avg_3m,replacement_min_12m,salary_drop_consecutive,turnover_momentum,zero_emp_months,emp_volatility,log_emp_count,firm_age_months,sido_code,industry_category,industry_death_rate_2023,imputed_months_count,imputed_ratio,has_missing_recent_3m
NEG_410830_2023년 1차,NEG_410830,0,2023년 1차,2023-08,0,1.0,2023-02,12,0.0336,0.0719,0.1739,0.0507,-0.2083,-0.1739,0.1176,2433799.0,2324012.0,-0.069,-0.0021,1.3744,0.5667,0.2,2,3.2465,0,0.0968,2.9957,286,29,BIZ_NO_MISSING,0.0,1,0.083,0
NEG_121812_2024년 2차,NEG_121812,0,2024년 2차,2024-12,0,1.08,2024-06,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4430142.0,4444296.0,0.0,0.0211,1.0,1.0,1.0,0,0.0,0,0.0,1.3863,232,28,운수 및 창고업,8.8,0,0.0,0
NEG_691870_2024년 1차,NEG_691870,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0401,0.0952,0.2857,0.086,0.0,0.0,0.0,2859603.0,2859556.0,0.0,-0.0188,1.1026,0.7778,0.3333,1,4.0336,0,0.0829,2.0794,18,41,"수도, 하수 및 폐기물처리, 원료재생업",5.2,0,0.0,0
NEG_110830_2024년 1차,NEG_110830,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0194,0.0119,0.069,0.0234,0.0741,0.1154,0.0,2489467.0,2482812.0,-0.016,0.0059,1.2821,2.1667,0.5,2,0.5512,0,0.0373,3.4012,73,11,부동산업,8.9,0,0.0,0
NEG_888860_2023년 1차,NEG_888860,0,2023년 1차,2023-08,0,0.58,2023-02,7,0.0385,0.0,0.5,0.1387,0.0,0.0,0.3333,1521225.0,1459722.0,0.0,-0.0987,1.0256,1.0,0.3333,1,0.0,0,0.1401,1.6094,61,41,건설업,7.6,6,0.5,1
NEG_124818_2024년 1차,NEG_124818,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3849064.0,3983500.0,0.0,0.0789,1.0,1.0,1.0,0,0.0,0,0.0,1.6094,103,41,부동산업,8.9,0,0.0,0
NEG_130821_2024년 1차,NEG_130821,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0077,0.0,0.1,0.0277,0.0,0.0,0.5,3272005.0,3296395.0,0.0,-0.0119,1.1154,1.0,1.0,2,0.0,0,0.1385,2.3026,196,41,교육서비스업,12.9,0,0.0,0
NEG_554870_2023년 1차,NEG_554870,0,2023년 1차,2023-08,0,1.0,2023-02,12,0.0,0.0,0.0,0.0,0.0625,0.0625,0.2143,2683900.0,2797150.0,0.0456,0.1062,1.3077,1.3333,1.0,1,0.0,0,0.0567,2.8904,40,11,전문과학기술서비스업,9.7,1,0.083,0
NEG_131819_2024년 1차,NEG_131819,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0096,0.0,0.125,0.0347,0.0,0.0,-0.125,3238635.0,3213968.0,0.0,-0.0658,0.9615,1.0,0.5,1,0.0,0,0.0525,2.0794,221,28,전문과학기술서비스업,9.7,0,0.0,0
NEG_761810_2024년 1차,NEG_761810,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0321,0.0556,0.25,0.0801,0.2,0.2,0.5,2209275.0,2136926.0,-0.1051,0.0129,1.1538,1.1667,0.5,1,2.2222,0,0.2262,1.9459,28,26,전문과학기술서비스업,9.7,0,0.0,0
NEG_609817_2024년 1차,NEG_609817,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0097,0.0,0.0667,0.0236,0.0,-0.0588,0.1429,3429783.0,3549083.0,0.016,0.0415,1.3077,1.0,0.5,2,0.0,0,0.0528,2.8332,210,48,제조업,6.8,0,0.0,0
NEG_512860_2023년 2차,NEG_512860,0,2023년 2차,2023-12,0,1.0,2023-06,12,0.011,0.0476,0.1429,0.0396,-0.1429,-0.1429,-0.1429,1009188.0,1023926.0,0.0328,0.0779,1.0385,0.8333,0.5,1,0.0,0,0.1694,1.9459,62,36,"수도, 하수 및 폐기물처리, 원료재생업",5.2,1,0.083,0
NEG_114820_2025년 1차,NEG_114820,0,2025년 1차,2025-08,0,0.58,2025-02,7,0.0449,0.0,0.3333,0.1108,0.0,0.0,-0.25,2895158.0,3087259.0,0.0,0.1713,0.9231,1.0,0.5,0,0.0,0,0.1496,1.3863,214,11,교육서비스업,12.9,6,0.5,1
NEG_308820_2024년 2차,NEG_308820,0,2024년 2차,2024-12,0,1.08,2024-06,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2623960.0,2637778.0,0.0,0.0352,1.0,1.0,1.0,0,0.0,0,0.0,1.9459,275,44,BIZ_NO_MISSING,0.0,0,0.0,0
NEG_307811_2025년 1차,NEG_307811,0,2025년 1차,2025-08,0,1.08,2025-02,13,0.0374,0.0,0.125,0.0585,0.1429,0.0,0.0,3000436.0,3019083.0,0.0021,0.0273,1.1538,1.3333,0.5,1,0.0,0,0.0808,2.1972,231,36,도매 및 소매업,13.0,0,0.0,0
NEG_512830_2023년 2차,NEG_512830,0,2023년 2차,2023-12,0,1.0,2023-06,12,0.0253,0.0,0.2667,0.0745,-0.0667,-0.0667,0.0,2690290.0,2789540.0,0.0506,0.0612,1.2462,2.0,0.2,1,0.0,0,0.0826,2.7081,189,47,BIZ_NO_MISSING,0.0,1,0.083,0
NEG_402830_2023년 1차,NEG_402830,0,2023년 1차,2023-08,0,1.0,2023-02,12,0.0637,0.0,0.4286,0.1326,-0.2,0.0,-0.4286,2287327.0,2375222.0,0.0,-0.1759,0.9808,1.0,0.25,1,0.0,0,0.1652,1.6094,317,45,BIZ_NO_MISSING,0.0,1,0.083,0
NEG_440860_2023년 1차,NEG_440860,0,2023년 1차,2023-08,0,1.0,2023-02,12,0.0343,0.0476,0.1429,0.0566,0.0833,0.0,0.4444,2962216.0,3168650.0,0.1119,0.018,1.5128,1.6667,0.5,1,1.571,0,0.1167,2.6391,36,28,제조업,6.8,1,0.083,0
NEG_205870_2023년 2차,NEG_205870,0,2023년 2차,2023-12,0,1.0,2023-06,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2387840.0,2374667.0,0.0,0.0708,1.0,1.0,1.0,1,0.0,0,0.0,1.3863,68,43,제조업,6.8,1,0.083,0
NEG_488870_2024년 1차,NEG_488870,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0545,0.125,0.25,0.089,0.0,0.2,0.2,2371070.0,2270259.0,-0.015,-0.0563,1.2436,1.0556,0.5,3,3.75,0,0.1752,1.9459,19,43,건설업,7.6,0,0.0,0
NEG_887820_2023년 2차,NEG_887820,0,2023년 2차,2023-12,0,1.0,2023-06,12,0.0154,0.0,0.2,0.0555,0.0,0.0,0.0,3136032.0,3128389.0,0.0,0.0053,0.9615,1.0,0.5,1,0.0,0,0.068,1.6094,63,11,BIZ_NO_MISSING,0.0,1,0.083,0
NEG_104880_2024년 1차,NEG_104880,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0569,0.1489,0.1818,0.0777,-0.3077,-0.25,0.125,1923778.0,1930667.0,0.0023,0.0229,1.5256,0.3889,0.3333,2,5.084,0,0.1516,2.3026,15,41,건설업,7.6,0,0.0,0
NEG_620814_2023년 1차,NEG_620814,0,2023년 1차,2023-08,0,1.0,2023-02,12,0.0324,0.0431,0.1538,0.0482,-0.0625,0.0,0.1538,3548098.0,3618356.0,-0.0213,0.1091,1.359,1.0,0.5,1,1.4748,0,0.1116,2.7726,112,31,건설업,7.6,1,0.083,0
NEG_124867_2023년 2차,NEG_124867,0,2023년 2차,2023-12,0,1.0,2023-06,12,0.0257,0.0,0.1176,0.0377,-0.1176,-0.1176,-0.2105,2920030.0,2979837.0,0.0198,0.1282,0.9487,1.0,0.3333,1,0.0,0,0.0983,2.7726,178,41,도매 및 소매업,13.0,1,0.083,0
NEG_609830_2024년 1차,NEG_609830,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0043,0.0,0.0377,0.0112,0.0,0.0,0.0566,4749551.0,4863056.0,0.0,0.0448,1.3718,1.0,0.3333,1,0.0,0,0.019,4.0431,163,48,"사업시설관리, 사업지원 및 임대 서비스업",12.2,0,0.0,0
NEG_464810_2024년 1차,NEG_464810,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0577,0.1111,0.3333,0.1148,-0.3333,-0.3333,-0.5,2493808.0,1769722.0,-0.3538,-0.3363,1.141,0.7778,0.3333,2,2.6667,0,0.1755,1.6094,14,11,도매 및 소매업,13.0,0,0.0,0
