roc_auc,pr_auc,precision@10,precision@50,precision@100,model,rep,fold,n_train,n_val,n_pos_val,experiment
0.7170763827919229,0.7409684746783426,0.9,0.68,0.57,voting_trees,1,2,541,135,67,voting_trees
0.6692273924495172,0.6678068126950445,0.8,0.66,0.54,voting_trees,1,3,541,135,67,voting_trees
0.6334503950834065,0.670496229942485,0.8,0.7,0.53,voting_trees,1,4,541,135,67,voting_trees
0.6432900432900432,0.6825130560774291,0.9,0.64,0.57,voting_trees,2,0,540,136,70,voting_trees
0.7357330992098332,0.7155332237355096,0.7,0.7,0.61,voting_trees,2,1,541,135,67,voting_trees
0.7170763827919229,0.7409684746783426,0.9,0.68,0.57,voting_trees,2,2,541,135,67,voting_trees
0.6692273924495172,0.6678068126950445,0.8,0.66,0.54,voting_trees,2,3,541,135,67,voting_trees
0.6334503950834065,0.670496229942485,0.8,0.7,0.53,voting_trees,2,4,541,135,67,voting_trees
0.6432900432900432,0.6825130560774291,0.9,0.64,0.57,voting_trees,3,0,540,136,70,voting_trees
0.7357330992098332,0.7155332237355096,0.7,0.7,0.61,voting_trees,3,1,541,135,67,voting_trees
0.7170763827919229,0.7409684746783426,0.9,0.68,0.57,voting_trees,3,2,541,135,67,voting_trees
0.6692273924495172,0.6678068126950445,0.8,0.66,0.54,voting_trees,3,3,541,135,67,voting_trees
0.6334503950834065,0.670496229942485,0.8,0.7,0.53,voting_trees,3,4,541,135,67,voting_trees
0.6432900432900432,0.6825130560774291,0.9,0.64,0.57,voting_trees,4,0,540,136,70,voting_trees
0.7357330992098332,0.7155332237355096,0.7,0.7,0.61,voting_trees,4,1,541,135,67,voting_trees
0.7170763827919229,0.7409684746783426,0.9,0.68,0.57,voting_trees,4,2,541,135,67,voting_trees
0.6692273924495172,0.6678068126950445,0.8,0.66,0.54,voting_trees,4,3,541,135,67,voting_trees
0.6334503950834065,0.670496229942485,0.8,0.7,0.53,voting_trees,4,4,541,135,67,voting_trees
0.6798701298701298,0.7165780617336156,0.9,0.68,0.58,voting_weighted,0,0,540,136,70,voting_weighted
0.728270412642669,0.7034985279583892,0.8,0.7,0.59,voting_weighted,0,1,541,135,67,voting_weighted
0.6525460930640913,0.699925209703355,0.9,0.64,0.54,voting_weighted,0,2,541,135,67,voting_weighted
0.6619841966637401,0.6619568558832332,0.8,0.64,0.53,voting_weighted,0,3,541,135,67,voting_weighted
0.5432396839332748,0.613688399852048,0.9,0.56,0.47,voting_weighted,0,4,541,135,67,voting_weighted
0.6798701298701298,0.7165780617336156,0.9,0.68,0.58,voting_weighted,1,0,540,136,70,voting_weighted
0.728270412642669,0.7034985279583892,0.8,0.7,0.59,voting_weighted,1,1,541,135,67,voting_weighted
0.6525460930640913,0.699925209703355,0.9,0.64,0.54,voting_weighted,1,2,541,135,67,voting_weighted
0.6619841966637401,0.6619568558832332,0.8,0.64,0.53,voting_weighted,1,3,541,135,67,voting_weighted
0.5432396839332748,0.613688399852048,0.9,0.56,0.47,voting_weighted,1,4,541,135,67,voting_weighted
0.6798701298701298,0.7165780617336156,0.9,0.68,0.58,voting_weighted,2,0,540,136,70,voting_weighted
0.728270412642669,0.7034985279583892,0.8,0.7,0.59,voting_weighted,2,1,541,135,67,voting_weighted
0.6525460930640913,0.699925209703355,0.9,0.64,0.54,voting_weighted,2,2,541,135,67,voting_weighted
0.6619841966637401,0.6619568558832332,0.8,0.64,0.53,voting_weighted,2,3,541,135,67,voting_weighted
